"","UF","COD_MUN_IBGE","SIGLA_PARTIDO","QTDE_VOTOS_2012","vote_pct_2012","win_margin_2012","incumbent_2012","QTDE_VOTOS_2016","vote_pct_2016","elected_2016"
"7032","MG",3130705,"PTB",2027,0.449047408063802,-0.101905183872397,0,2624,0.649987614565271,1
"7033","MG",3130804,"PTB",1524,0.6096,0.2192,1,1334,0.508771929824561,1
"7034","MG",3130804,"PMDB",976,0.3904,-0.2192,0,1288,0.491228070175439,0
"7035","MG",3130903,"DEM",9389,0.55431573975676,0.137796670208998,1,7617,0.46951858472539,0
"7036","MG",3130903,"PMDB",7055,0.416519069547762,-0.137796670208998,0,8606,0.53048141527461,1
"7037","MG",3130903,"PSD",288,0.0170031880977683,-0.537312551658992,0,NA,NA,NA
"7038","MG",3130903,"PSB",206,0.0121620025977093,-0.542153737159051,0,NA,NA,NA
"7039","MG",3131000,"DEM",2111,0.492648774795799,0.0548424737456243,1,2108,0.469278717720392,0
"7040","MG",3131000,"PSD",1876,0.437806301050175,-0.0548424737456243,0,2384,0.530721282279608,1
"7041","MG",3131000,"PTB",298,0.0695449241540257,-0.423103850641774,0,NA,NA,NA
"7042","MG",3131109,"PR",3395,0.720347973689794,0.440695947379588,1,3692,1,1
"7043","MG",3131109,"PMDB",1318,0.279652026310206,-0.440695947379588,0,NA,NA,NA
"7044","MG",3131158,"PDT",5691,0.526749352091818,0.148278415401703,1,NA,NA,NA
"7045","MG",3131158,"PMDB",4089,0.378470936690115,-0.148278415401703,0,4875,0.421566931857489,1
"7046","MG",3131158,"PT",1024,0.0947797112180674,-0.43196964087375,0,349,0.0301798685575925,0
"7047","MG",3131208,"PR",7222,0.56149898927072,0.12299797854144,1,NA,NA,NA
"7048","MG",3131208,"PSDB",5640,0.43850101072928,-0.12299797854144,0,NA,NA,NA
"7049","MG",3131307,"PT",81475,0.615425869414146,0.393222950720609,1,19875,0.155972878376469,0
"7050","MG",3131307,"PV",29417,0.222202918693537,-0.393222950720609,0,NA,NA,NA
"7051","MG",3131307,"PCB",16096,0.121582016496963,-0.493843852917183,0,17128,0.134415268469543,0
"7052","MG",3131307,"PMDB",5400,0.0407891953953531,-0.574636674018793,0,68810,0.53999968609232,1
"7053","MG",3131406,"PPS",1730,0.53279950723745,0.0655990144748999,1,NA,NA,NA
"7054","MG",3131406,"PSD",1517,0.46720049276255,-0.0655990144748999,0,1612,0.511421319796954,1
"7055","MG",3131505,"PR",3295,0.505600736535216,0.0112014730704312,1,NA,NA,NA
"7056","MG",3131505,"PT",3222,0.494399263464784,-0.0112014730704312,0,NA,NA,NA
"7057","MG",3131604,"PMDB",2823,0.544875506658946,0.0897510133178923,1,NA,NA,NA
"7058","MG",3131604,"PDT",2358,0.455124493341054,-0.0897510133178923,0,2673,0.540764717782723,1
"7059","MG",3131703,"PV",47794,0.702037338973839,0.5035473494029,1,4340,0.0645698812747344,0
"7060","MG",3131703,"PTB",13513,0.19848998957094,-0.5035473494029,0,30018,0.446603386199304,1
"7061","MG",3131703,"PSDB",3954,0.0580795840126911,-0.643957754961148,0,NA,NA,NA
"7062","MG",3131703,"PSOL",2818,0.04139308744253,-0.660644251531309,0,NA,NA,NA
"7063","MG",3131802,"PSDB",3804,0.546551724137931,0.0941091954022989,1,4304,0.615032866533295,1
"7064","MG",3131802,"PTB",3149,0.452442528735632,-0.0941091954022989,0,NA,NA,NA
"7065","MG",3131802,"PSB",7,0.00100574712643678,-0.545545977011494,0,NA,NA,NA
"7066","MG",3131901,"PSD",14250,0.486149017467249,0.154373635371179,1,17357,0.57843169927017,1
"7067","MG",3131901,"PMDB",9725,0.33177538209607,-0.154373635371179,0,NA,NA,NA
"7068","MG",3131901,"PPS",3750,0.127933951965065,-0.358215065502183,0,10793,0.359682740693838,0
"7069","MG",3131901,"PSDB",1587,0.0541416484716157,-0.432007368995633,0,NA,NA,NA
"7070","MG",3132008,"PSDB",2204,0.568187677236401,0.136375354472802,1,NA,NA,NA
"7071","MG",3132008,"PSB",1675,0.431812322763599,-0.136375354472802,0,NA,NA,NA
"7072","MG",3132107,"PDT",5589,0.579771784232365,0.211410788381743,1,4847,0.498508690733313,0
"7073","MG",3132107,"PMDB",3551,0.368360995850622,-0.211410788381743,0,NA,NA,NA
"7074","MG",3132107,"PSB",500,0.0518672199170125,-0.527904564315353,0,NA,NA,NA
"7075","MG",3132206,"PT",4453,0.580119854090672,0.160239708181344,1,1176,0.1910641754671,0
"7076","MG",3132206,"PSDB",3223,0.419880145909328,-0.160239708181344,0,4979,0.8089358245329,1
"7077","MG",3132305,"PMN",2771,0.458698890912101,0.0869061413673233,1,NA,NA,NA
"7078","MG",3132305,"PP",2246,0.371792749544777,-0.0869061413673233,0,3203,0.515947164948454,1
"7079","MG",3132305,"DEM",1024,0.169508359543122,-0.289190531368979,0,NA,NA,NA
"7080","MG",3132404,"PMDB",16681,0.319737018650208,0.0739874643000901,1,29531,0.576585899213152,1
"7081","MG",3132404,"PTB",12821,0.245749554350118,-0.0739874643000901,0,NA,NA,NA
"7082","MG",3132404,"PSDB",11973,0.229495313488336,-0.0902417051618715,0,NA,NA,NA
"7083","MG",3132404,"PT",10499,0.201242069348872,-0.118494949301336,0,NA,NA,NA
"7084","MG",3132404,"PSTU",197,0.00377604416246574,-0.315960974487742,0,593,0.0115781869301209,0
"7085","MG",3132503,"PSDB",8042,0.479146806482364,0.189406577693041,1,NA,NA,NA
"7086","MG",3132503,"PSB",4863,0.289740228789323,-0.189406577693041,0,NA,NA,NA
"7087","MG",3132503,"PT",3470,0.206744518589133,-0.272402287893232,0,NA,NA,NA
"7088","MG",3132503,"PSD",409,0.0243684461391802,-0.454778360343184,0,NA,NA,NA
"7089","MG",3132602,"PSDB",1863,0.550206733608978,0.100413467217956,1,NA,NA,NA
"7090","MG",3132602,"PR",1523,0.449793266391022,-0.100413467217956,0,NA,NA,NA
"7091","MG",3132701,"PHS",6917,0.541490527634257,0.0829810552685142,1,6044,0.481095279789859,0
"7092","MG",3132701,"PR",5857,0.458509472365743,-0.0829810552685142,0,6519,0.518904720210141,1
"7093","MG",3132800,"PMDB",1156,0.557377049180328,0.114754098360656,1,1492,0.693308550185874,1
"7094","MG",3132800,"PP",918,0.442622950819672,-0.114754098360656,0,NA,NA,NA
"7095","MG",3132909,"PSDB",4933,0.644162966832071,0.288325933664142,1,NA,NA,NA
"7096","MG",3132909,"PMDB",2725,0.355837033167929,-0.288325933664142,0,2792,0.381108381108381,1
"7097","MG",3133006,"PP",4804,0.531651173085436,0.0633023461708721,1,NA,NA,NA
"7098","MG",3133006,"PDT",4232,0.468348826914564,-0.0633023461708721,0,NA,NA,NA
"7099","MG",3133105,"PT do B",5415,0.570961619569802,0.150463939266132,1,1730,0.18011452368558,0
"7100","MG",3133105,"PTB",3988,0.420497680303669,-0.150463939266132,0,4898,0.50994273815721,1
"7101","MG",3133105,"PT",81,0.00854070012652889,-0.562420919443273,0,NA,NA,NA
"7102","MG",3133204,"PDT",3523,0.452246469833119,0.160847240051348,1,NA,NA,NA
"7103","MG",3133204,"PT",2270,0.291399229781772,-0.160847240051348,0,1273,0.158491035856574,0
"7104","MG",3133204,"DEM",1997,0.256354300385109,-0.19589216944801,0,NA,NA,NA
"7105","MG",3133303,"PT",6933,0.624876070301938,0.249752140603876,1,NA,NA,NA
"7106","MG",3133303,"PSB",4162,0.375123929698062,-0.249752140603876,0,4166,0.370970614425646,0
"7107","MG",3133402,"PSDB",3558,0.430698462655853,0.00314731872654644,1,4280,0.502524363038629,1
"7108","MG",3133402,"PR",3532,0.427551143929306,-0.00314731872654644,0,NA,NA,NA
"7109","MG",3133402,"PMDB",1171,0.141750393414841,-0.288948069241012,0,NA,NA,NA
"7110","MG",3133501,"PP",7759,0.536435287610619,0.0929894911504424,1,5867,0.426473795158828,0
"7111","MG",3133501,"DEM",6414,0.443445796460177,-0.0929894911504424,0,NA,NA,NA
"7112","MG",3133501,"PT",291,0.0201189159292035,-0.516316371681416,0,NA,NA,NA
"7113","MG",3133600,"PSDB",2551,0.485904761904762,0.0472380952380952,1,1972,0.334293948126801,0
"7114","MG",3133600,"DEM",2303,0.438666666666667,-0.0472380952380952,0,NA,NA,NA
"7115","MG",3133600,"PT",208,0.0396190476190476,-0.446285714285714,0,NA,NA,NA
"7116","MG",3133600,"PSB",188,0.0358095238095238,-0.450095238095238,0,NA,NA,NA
"7117","MG",3133709,"PV",3342,0.500824216993856,0.150756781057995,1,5423,0.720090293453725,1
"7118","MG",3133709,"PTB",2336,0.350067435935861,-0.150756781057995,0,NA,NA,NA
"7119","MG",3133709,"PSD",995,0.149108347070283,-0.351715869923573,0,NA,NA,NA
"7120","MG",3133758,"DEM",5019,0.523139462163852,0.0462789243277049,1,NA,NA,NA
"7121","MG",3133758,"PSD",4575,0.476860537836148,-0.0462789243277049,0,5201,0.531799591002045,1
