"","UF","COD_MUN_IBGE","SIGLA_PARTIDO","QTDE_VOTOS_2000","vote_pct_2000","rank_2000","win_margin_2000","Incumbent_2000","vote_pct_2004","NOME","POP_201","IDHM_10","PIB_PER"
"2828","PE",2608008,"PSDC",2989,0.405673181324647,2,-0.188653637350706,0,NA,"JATAUBA",16219,0.53,4581
"2829","PE",2608057,"PSDB",3348,0.543418276253855,1,0.126278201590651,1,NA,"JATOBA",14087,0.645,4556
"2830","PE",2608057,"PFL",2570,0.417140074663204,2,-0.126278201590651,0,NA,"JATOBA",14087,0.645,4556
"2831","PE",2608057,"PT",243,0.0394416490829411,3,-0.503976627170914,0,0.0808833137331765,"JATOBA",14087,0.645,4556
"2832","PE",2608107,"PFL",7998,0.534554203983425,1,0.076326694292207,1,0.509260862039121,"JOAO ALFREDO",31305,0.576,4514
"2833","PE",2608107,"PPB",6856,0.458227509691218,2,-0.076326694292207,0,NA,"JOAO ALFREDO",31305,0.576,4514
"2834","PE",2608107,"PSC",108,0.00721828632535757,3,-0.527335917658067,0,NA,"JOAO ALFREDO",31305,0.576,4514
"2835","PE",2608206,"PFL",5117,0.595623326737283,1,0.191246653474566,1,0.518848044954343,"JOAQUIM NABUCO",15751,0.554,6721
"2836","PE",2608206,"PSB",3474,0.404376673262717,2,-0.191246653474566,0,0.481151955045657,"JOAQUIM NABUCO",15751,0.554,6721
"2837","PE",2608255,"PSDB",3194,0.639311449159327,1,0.278622898318655,1,0.701292327825945,"JUCATI",10742,0.55,4889
"2838","PE",2608255,"PMDB",1802,0.360688550840673,2,-0.278622898318655,0,0.298707672174055,"JUCATI",10742,0.55,4889
"2839","PE",2608305,"PHS",3958,0.579841781423967,1,0.159683562847934,1,0.354265402843602,"JUPI",13899,0.575,5267
"2840","PE",2608305,"PFL",2868,0.420158218576033,2,-0.159683562847934,0,NA,"JUPI",13899,0.575,5267
"2841","PE",2608404,"PMDB",3597,0.565743944636678,1,0.131487889273356,1,0.490109002825999,"JUREMA",14662,0.509,4437
"2842","PE",2608404,"PFL",2761,0.434256055363322,2,-0.131487889273356,0,0.509890997174001,"JUREMA",14662,0.509,4437
"2843","PE",2608453,"PSDB",4204,0.536429756284292,1,0.0728595125685849,1,0.48074520049983,"LAGOA DO CARRO",16408,0.609,4444
"2844","PE",2608453,"PDT",3633,0.463570243715708,2,-0.0728595125685849,0,NA,"LAGOA DO CARRO",16408,0.609,4444
"2845","PE",2608503,"PMDB",6842,0.569976674441853,1,0.139953348883705,1,0.611332337813174,"LAGOA DE ITAENGA",20733,0.602,10781
"2846","PE",2608503,"PSB",5162,0.430023325558147,2,-0.139953348883705,0,0.388667662186826,"LAGOA DE ITAENGA",20733,0.602,10781
"2847","PE",2608602,"PFL",5823,1,1,NA,1,0.910536204653852,"LAGOA DO OURO",12307,0.525,4496
"2848","PE",2608701,"PSDC",4018,0.552454282964389,1,0.104908565928778,1,NA,"LAGOA DOS GATOS",15731,0.551,4202
"2849","PE",2608701,"PMDB",3255,0.447545717035611,2,-0.104908565928778,0,0.515491183879093,"LAGOA DOS GATOS",15731,0.551,4202
"2850","PE",2608750,"PMDB",5186,0.648655409631019,1,0.297310819262039,1,0.463822207142251,"LAGOA GRANDE",23308,0.597,11080
"2851","PE",2608750,"PFL",2809,0.351344590368981,2,-0.297310819262039,0,NA,"LAGOA GRANDE",23308,0.597,11080
"2852","PE",2608800,"PDT",10101,0.512845247766044,1,0.0256904955320877,1,0.545735834461419,"LAJEDO",37296,0.611,5314
"2853","PE",2608800,"PFL",9595,0.487154752233956,2,-0.0256904955320877,0,0.454264165538581,"LAJEDO",37296,0.611,5314
"2854","PE",2608909,"PSDB",16125,0.579452350150927,1,0.158904700301854,1,NA,"LIMOEIRO",55343,0.663,5842
"2855","PE",2608909,"PMDB",11703,0.420547649849073,2,-0.158904700301854,0,0.483905613292479,"LIMOEIRO",55343,0.663,5842
"2856","PE",2609006,"PFL",7484,0.582457778815472,1,0.164915557630944,1,0.556022063060838,"MACAPARANA",24142,0.609,4969
"2857","PE",2609006,"PMDB",5365,0.417542221184528,2,-0.164915557630944,0,0.412776817321149,"MACAPARANA",24142,0.609,4969
"2858","PE",2609105,"PSDB",4272,0.774614687216682,1,0.549229374433364,1,NA,"MACHADOS",14109,0.578,4978
"2859","PE",2609105,"PSL",1243,0.225385312783318,2,-0.549229374433364,0,NA,"MACHADOS",14109,0.578,4978
"2860","PE",2609154,"PFL",2745,0.478306325143753,1,0.058198292385433,1,NA,"MANARI",18847,0.487,3791
"2861","PE",2609154,"PSDB",2411,0.42010803275832,2,-0.058198292385433,0,NA,"MANARI",18847,0.487,3791
"2862","PE",2609154,"PL",583,0.101585642097926,3,-0.376720683045827,0,NA,"MANARI",18847,0.487,3791
"2863","PE",2609204,"PMDB",4867,0.752357396815582,1,0.504714793631164,1,0.535191037058317,"MARAIAL",11961,0.534,7473
"2864","PE",2609204,"PFL",1602,0.247642603184418,2,-0.504714793631164,0,0.421574260270037,"MARAIAL",11961,0.534,7473
"2865","PE",2609303,"PT",4101,0.557201086956522,1,0.114402173913043,1,NA,"MIRANDIBA",14488,0.591,4473
"2866","PE",2609303,"PSDB",3259,0.442798913043478,2,-0.114402173913043,0,0.540706412825651,"MIRANDIBA",14488,0.591,4473
"2867","PE",2609402,"PSB",8750,0.351702238835966,1,0.00988785722898832,1,NA,"MORENO",57828,0.652,5351
"2868","PE",2609402,"PMDB",8504,0.341814381606978,2,-0.00988785722898832,0,0.69725392296719,"MORENO",57828,0.652,5351
"2869","PE",2609402,"PSL",7625,0.306483379557056,3,-0.0452188592789099,0,NA,"MORENO",57828,0.652,5351
"2870","PE",2609501,"PFL",8882,0.512196528458566,1,0.0243930569171328,1,0.386279655117014,"NAZARE DA MATA",31029,0.662,7549
"2871","PE",2609501,"PMDB",8459,0.487803471541434,2,-0.0243930569171328,0,NA,"NAZARE DA MATA",31029,0.662,7549
"2872","PE",2609709,"PSB",5571,0.519246900922733,1,0.0384938018454655,1,NA,"OROBO",22996,0.61,4472
"2873","PE",2609709,"PSDB",5158,0.480753099077267,2,-0.0384938018454655,0,0.579784504874295,"OROBO",22996,0.61,4472
"2874","PE",2609808,"PFL",3196,0.526263790548329,1,0.0525275810966573,1,0.568333333333333,"OROCO",13536,0.61,8918
"2875","PE",2609808,"PPS",2877,0.473736209451671,2,-0.0525275810966573,0,NA,"OROCO",13536,0.61,8918
"2876","PE",2609907,"PSDB",7728,0.321303841676368,1,0.0103525694328954,1,0.337904513133072,"OURICURI",65510,0.572,4802
"2877","PE",2609907,"PFL",7479,0.310951272243472,2,-0.0103525694328954,0,0.444928167174576,"OURICURI",65510,0.572,4802
"2878","PE",2609907,"PMDB",6766,0.281307167803093,3,-0.0399966738732746,0,NA,"OURICURI",65510,0.572,4802
"2879","PE",2609907,"PTB",2079,0.0864377182770664,4,-0.234866123399302,0,NA,"OURICURI",65510,0.572,4802
"2880","PE",2610004,"PMDB",12871,0.481266826204008,1,0.059489979060724,1,NA,"PALMARES",60091,0.622,7848
"2881","PE",2610004,"PFL",11280,0.421776847143285,2,-0.059489979060724,0,0.470177288604758,"PALMARES",60091,0.622,7848
"2882","PE",2610004,"PSDB",1686,0.0630421776847143,3,-0.418224648519294,0,0.412146576155012,"PALMARES",60091,0.622,7848
"2883","PE",2610004,"PT",627,0.0234445109183368,4,-0.457822315285672,0,NA,"PALMARES",60091,0.622,7848
"2884","PE",2610004,"PL",280,0.010469638049656,5,-0.470797188154352,0,NA,"PALMARES",60091,0.622,7848
"2885","PE",2610103,"PFL",2423,0.548438207333635,1,0.0968764146672703,1,0.450309895276769,"PALMEIRINA",8172,0.549,5062
"2886","PE",2610103,"PPB",1995,0.451561792666365,2,-0.0968764146672703,0,NA,"PALMEIRINA",8172,0.549,5062
"2887","PE",2610202,"PFL",10019,0.888918463312927,1,0.777836926625854,1,0.538578790738187,"PANELAS",26005,0.569,4104
"2888","PE",2610202,"PSDB",1252,0.111081536687073,2,-0.777836926625854,0,NA,"PANELAS",26005,0.569,4104
"2889","PE",2610301,"PPB",3829,0.632578886502561,1,0.265157773005121,1,NA,"PARANATAMA",11100,0.537,4683
"2890","PE",2610301,"PMDB",2224,0.367421113497439,2,-0.265157773005121,0,0.29535002554931,"PARANATAMA",11100,0.537,4683
"2891","PE",2610400,"PMDB",5471,0.542005151575193,1,0.0840103031503863,1,0.238371565871793,"PARNAMIRIM",20425,0.599,5117
"2892","PE",2610400,"PFL",4623,0.457994848424807,2,-0.0840103031503863,0,NA,"PARNAMIRIM",20425,0.599,5117
"2893","PE",2610509,"PSDB",7929,0.51079043999227,1,0.10874186690717,1,0.498290497524169,"PASSIRA",28552,0.592,4473
"2894","PE",2610509,"PMDB",6241,0.4020485730851,2,-0.10874186690717,0,NA,"PASSIRA",28552,0.592,4473
"2895","PE",2610509,"PSB",944,0.0608129871803131,3,-0.449977452811957,0,NA,"PASSIRA",28552,0.592,4473
"2896","PE",2610509,"PFL",409,0.0263479997423178,4,-0.484442440249952,0,0.501709502475831,"PASSIRA",28552,0.592,4473
"2897","PE",2610608,"PSB",9897,0.500480404551201,1,0.180480404551201,1,NA,"PAUDALHO",52297,0.639,5152
"2898","PE",2610608,"PMDB",6328,0.32,2,-0.180480404551201,0,0.328867932842727,"PAUDALHO",52297,0.639,5152
"2899","PE",2610608,"PSC",3499,0.176940581542351,3,-0.32353982300885,0,NA,"PAUDALHO",52297,0.639,5152
"2900","PE",2610608,"PFL",51,0.00257901390644753,4,-0.497901390644753,0,NA,"PAUDALHO",52297,0.639,5152
"2901","PE",2610707,"PMDB",62480,0.541989434328889,1,0.178454011571925,1,0.405940302896633,"PAULISTA",306239,0.732,7084
"2902","PE",2610707,"PDT",41908,0.363535422756964,2,-0.178454011571925,0,NA,"PAULISTA",306239,0.732,7084
"2903","PE",2610707,"PSDC",7414,0.0643135349890266,3,-0.477675899339862,0,NA,"PAULISTA",306239,0.732,7084
"2904","PE",2610707,"PT",3477,0.0301616079251208,4,-0.511827826403768,0,0.117012204087634,"PAULISTA",306239,0.732,7084
"2905","PE",2610806,"PMDB",6009,0.549218535782835,1,0.104926423544466,1,NA,"PEDRA",21050,0.567,6505
"2906","PE",2610806,"PFL",4861,0.444292112238369,2,-0.104926423544466,0,NA,"PEDRA",21050,0.567,6505
"2907","PE",2610806,"PPB",71,0.00648935197879535,3,-0.54272918380404,0,NA,"PEDRA",21050,0.567,6505
"2908","PE",2610905,"PFL",10356,0.38865120468363,1,0.0343391128124296,1,0.479227637103957,"PESQUEIRA",63519,0.61,5507
"2909","PE",2610905,"PSL",9441,0.3543120918712,2,-0.0343391128124296,0,NA,"PESQUEIRA",63519,0.61,5507
"2910","PE",2610905,"PSDB",6849,0.25703670344517,3,-0.13161450123846,0,NA,"PESQUEIRA",63519,0.61,5507
"2911","PE",2611002,"PMDB",7625,0.58388850601118,1,0.16777701202236,1,NA,"PETROLANDIA",33273,0.623,21715
"2912","PE",2611002,"PSDC",5434,0.41611149398882,2,-0.16777701202236,0,0.421540206705319,"PETROLANDIA",33273,0.623,21715
"2913","PE",2611101,"PPS",59123,0.62377877656095,1,0.302061572872486,1,0.383767947733952,"PETROLINA",305352,0.697,10708
"2914","PE",2611101,"PFL",30493,0.321717203688464,2,-0.302061572872486,0,0.265607742563507,"PETROLINA",305352,0.697,10708
"2915","PE",2611101,"PSB",5166,0.0545040197505856,3,-0.569274756810365,0,0.35062430970254,"PETROLINA",305352,0.697,10708
"2916","PE",2611200,"PFL",3888,0.635813573180703,1,0.271627146361406,1,0.492935178441369,"POCAO",11029,0.528,4389
"2917","PE",2611200,"PPB",2227,0.364186426819297,2,-0.271627146361406,0,NA,"POCAO",11029,0.528,4389
