"","ANO_ELEICAO","NUM_TURNO","UF","COD_MUN_IBGE","NOME_MUNICIPIO","SIGLA_PARTIDO","QTDE_VOTOS.x","vote_pct_2012","rank_2012","first_rank_vote_pct","second_rank_vote_pct","win_margin","Incumbent","QTDE_VOTOS.y","vote_pct_2016"
"5557",2012,1,"BA",2914802,"Itabuna","PT",16837,0.153612451759468,3,0.416241663397411,0.406141943489011,-0.262629211637943,0,8104,0.0768946114943401
"5558",2012,1,"BA",2914802,"Itabuna","PSTU",1089,0.00993549682045855,4,0.416241663397411,0.406141943489011,-0.406306166576952,0,2168,0.0205710165004602
"5559",2012,1,"BA",2914802,"Itabuna","PSOL",838,0.00764549709416369,5,0.416241663397411,0.406141943489011,-0.408596166303247,0,313,0.00296989306487271
"5560",2012,1,"BA",2914802,"Itabuna","PCB",704,0.00642294743948835,6,0.416241663397411,0.406141943489011,-0.409818715957922,0,NA,NA
"5561",2012,1,"BA",2914901,"Itacaré","PSB",4897,0.486924530177985,1,0.486924530177985,0.384110569752411,0.102813960425574,1,NA,NA
"5562",2012,1,"BA",2914901,"Itacaré","PC do B",3863,0.384110569752411,2,0.486924530177985,0.384110569752411,-0.102813960425574,0,NA,NA
"5563",2012,1,"BA",2914901,"Itacaré","PV",517,0.0514069802127871,3,0.486924530177985,0.384110569752411,-0.435517549965198,0,NA,NA
"5564",2012,1,"BA",2914901,"Itacaré","PT",398,0.0395744257730934,4,0.486924530177985,0.384110569752411,-0.447350104404892,0,4437,0.388733134746802
"5565",2012,1,"BA",2914901,"Itacaré","PT do B",244,0.0242617082629015,5,0.486924530177985,0.384110569752411,-0.462662821915084,0,NA,NA
"5566",2012,1,"BA",2914901,"Itacaré","PTC",103,0.0102416227503232,6,0.486924530177985,0.384110569752411,-0.476682907427662,0,NA,NA
"5567",2012,1,"BA",2914901,"Itacaré","PHS",35,0.00348016307049816,7,0.486924530177985,0.384110569752411,-0.483444367107487,0,NA,NA
"5568",2012,1,"BA",2915007,"Itaeté","PSB",4962,0.655309033280507,1,0.655309033280507,0.336370839936609,0.318938193343899,1,NA,NA
"5569",2012,1,"BA",2915007,"Itaeté","PDT",2547,0.336370839936609,2,0.655309033280507,0.336370839936609,-0.318938193343899,0,NA,NA
"5570",2012,1,"BA",2915007,"Itaeté","PSOL",63,0.00832012678288431,3,0.655309033280507,0.336370839936609,-0.646988906497623,0,NA,NA
"5571",2012,1,"BA",2915106,"Itagi","PT",2942,0.353818400481058,1,0.353818400481058,0.353337342152736,0.000481058328322292,1,2703,0.356784582893347
"5572",2012,1,"BA",2915106,"Itagi","PDT",2938,0.353337342152736,2,0.353818400481058,0.353337342152736,-0.000481058328322292,0,NA,NA
"5573",2012,1,"BA",2915106,"Itagi","PP",2435,0.292844257366206,3,0.353818400481058,0.353337342152736,-0.0609741431148527,0,NA,NA
"5574",2012,1,"BA",2915205,"Itagibá","PC do B",5260,0.602106227106227,1,0.602106227106227,0.385874542124542,0.216231684981685,1,3924,0.466421015095685
"5575",2012,1,"BA",2915205,"Itagibá","PT do B",3371,0.385874542124542,2,0.602106227106227,0.385874542124542,-0.216231684981685,0,NA,NA
"5576",2012,1,"BA",2915205,"Itagibá","PSOL",82,0.00938644688644689,3,0.602106227106227,0.385874542124542,-0.59271978021978,0,NA,NA
"5577",2012,1,"BA",2915205,"Itagibá","PRB",23,0.00263278388278388,4,0.602106227106227,0.385874542124542,-0.599473443223443,0,NA,NA
"5578",2012,1,"BA",2915304,"Itagimirim","PMDB",1813,0.405502124804294,1,0.405502124804294,0.359427421158578,0.0460747036457168,1,3037,0.613783346806791
"5579",2012,1,"BA",2915304,"Itagimirim","PSD",1607,0.359427421158578,2,0.405502124804294,0.359427421158578,-0.0460747036457168,0,NA,NA
"5580",2012,1,"BA",2915304,"Itagimirim","PSB",989,0.221203310221427,3,0.405502124804294,0.359427421158578,-0.184298814582867,0,NA,NA
"5581",2012,1,"BA",2915304,"Itagimirim","PSOL",62,0.0138671438157012,4,0.405502124804294,0.359427421158578,-0.391634980988593,0,NA,NA
"5582",2012,1,"BA",2915353,"Itaguaçu da Bahia","PSD",6027,0.808559162865575,1,0.808559162865575,0.191440837134424,0.617118325731151,1,4743,0.579050177023562
"5583",2012,1,"BA",2915353,"Itaguaçu da Bahia","PT",1427,0.191440837134424,2,0.808559162865575,0.191440837134424,-0.617118325731151,0,NA,NA
"5584",2012,1,"BA",2915403,"Itaju do Colônia","PT",1623,0.432684617435351,1,0.432684617435351,0.326046387629965,0.106638229805385,1,NA,NA
"5585",2012,1,"BA",2915403,"Itaju do Colônia","PP",1223,0.326046387629965,2,0.432684617435351,0.326046387629965,-0.106638229805385,0,NA,NA
"5586",2012,1,"BA",2915403,"Itaju do Colônia","PSB",905,0.241268994934684,3,0.432684617435351,0.326046387629965,-0.191415622500666,0,NA,NA
"5587",2012,1,"BA",2915502,"Itajuípe","PSB",6285,0.499443738080102,1,0.499443738080102,0.441274634456453,0.0581691036236491,1,NA,NA
"5588",2012,1,"BA",2915502,"Itajuípe","PSD",5553,0.441274634456453,2,0.499443738080102,0.441274634456453,-0.0581691036236491,0,6787,0.525065758935479
"5589",2012,1,"BA",2915502,"Itajuípe","PSC",397,0.0315479974570884,3,0.499443738080102,0.441274634456453,-0.467895740623013,0,NA,NA
"5590",2012,1,"BA",2915502,"Itajuípe","PDT",260,0.0206611570247934,4,0.499443738080102,0.441274634456453,-0.478782581055308,0,NA,NA
"5591",2012,1,"BA",2915502,"Itajuípe","PTC",89,0.00707247298156389,5,0.499443738080102,0.441274634456453,-0.492371265098538,0,NA,NA
"5592",2012,1,"BA",2915601,"Itamaraju","PSD",16791,0.556878482356063,1,0.556878482356063,0.425610241443354,0.131268240912709,1,9880,0.30887548066402
